 name         t90      fluence    fluence_error fluence_batse fluence_batse_error 
 GRB220522110    5.824 1.0277e-06    1.5402e-08    5.7633e-07          5.8902e-09 
 GRB210805002    0.832 1.4068e-07    1.0933e-08    6.4958e-08          5.8925e-09 
 GRB231030005    6.400 2.6656e-07    1.1867e-08    1.4795e-07          5.8953e-09 
 GRB210909447    1.408 3.0214e-06    9.5927e-09    1.9903e-06          5.9110e-09 
 GRB230724049    0.416 9.2377e-08    1.0959e-08    5.3855e-08          5.9206e-09 
 GRB120817168    0.160 1.7866e-06    1.0167e-08    4.9967e-07          5.9318e-09 
 GRB110717180    0.112 2.5120e-07    1.1782e-08    1.4326e-07          5.9647e-09 
 GRB230408442    4.544 4.7259e-07    1.1112e-08    2.5428e-07          5.9679e-09 
 GRB240429628    2.048 5.7502e-07    1.2548e-08    3.0810e-07          5.9826e-09 
 GRB181126729    9.216 5.5055e-07    1.3211e-08    3.0648e-07          5.9836e-09 
 GRB180123820    0.320 6.2292e-08    1.0878e-08    3.5590e-08          5.9908e-09 
 GRB100112418   23.040 1.0497e-06    1.0969e-08    5.5620e-07          5.9938e-09 
 GRB220518717    3.840 3.6100e-07    1.1880e-08    1.9515e-07          6.0161e-09 
 GRB120616630    0.048 2.5760e-07    1.1567e-08    6.4193e-08          6.0255e-09 
 GRB150412507    0.576 1.2957e-07    1.2244e-08    7.6575e-08          6.0263e-09 
 GRB210929154    1.920 1.5298e-07    9.6072e-09    7.1577e-08          6.0344e-09 
 GRB091122163    2.944 1.6406e-07    1.3922e-08    7.9164e-08          6.0919e-09 
 GRB170520202    6.144 4.0795e-07    1.2631e-08    1.7144e-07          6.0956e-09 
 GRB150604434    0.896 3.9739e-07    1.2386e-08    2.2371e-07          6.0984e-09 
 GRB091002685    2.752 3.3749e-07    1.4855e-08    1.6264e-07          6.1433e-09 
 GRB180524920    4.096 5.0532e-07    1.8307e-08    3.4360e-07          6.1445e-09 
 GRB190515190    1.264 1.5425e-07    1.1763e-08    8.9716e-08          6.1456e-09 
 GRB160211119    0.960 1.4487e-07    1.2475e-08    7.9439e-08          6.1521e-09 
 GRB231019715    9.472 1.4763e-06    1.1248e-08    9.1201e-07          6.1579e-09 
