name        t90     t90_error fluence_batse fluence_batse_error flux_batse_1024 flux_batse_1024_error flux_batse_64 flux_batse_64_error
GRB150602840  10.496    0.724   2.9666e-06         1.8011e-08         2.4403               0.1265       4.1503             0.5799
GRB091117080 113.664    2.360   1.8465e-06         2.4068e-08         0.5740               0.0964       1.9950             0.5106
GRB200809654  17.408    8.838   5.7700e-07         3.2132e-08         2.4232               0.1659       4.1365             0.9102
GRB181103046  11.776    3.727   3.2685e-07         1.7618e-08         0.4582               0.0729       1.3830             0.3819
GRB110517453   0.576    1.810   5.3038e-08         1.2728e-08         0.4385               0.0724       3.0307             0.5724
GRB181022846  13.824    4.579   3.9067e-07         1.5157e-08         0.6540               0.0783       1.2929             0.4121
GRB170304003   0.160    0.315   1.3465e-07         7.2636e-09         0.8504               0.0690       7.8867             0.5844
GRB140712973  28.160    8.444   2.9236e-06         7.6608e-08         1.5667               0.1217       2.7236             0.6715
GRB201227635   0.112    0.116   8.7800e-07         1.5551e-08         3.9456               0.2713      46.9079             3.2588
GRB190921699  22.272    1.280   1.5266e-06         1.3162e-08         1.1751               0.0957       2.0427             0.4754
GRB211219910  73.729    1.810   3.9186e-06         6.3664e-08         1.7709               0.1889       2.9905             0.7800
GRB200803149 118.274    1.145   1.6231e-05         1.7764e-08         4.4789               0.1232       6.7049             0.5954
GRB090304216   2.816    0.923   4.7962e-07         5.2645e-08         0.8407               0.1434       1.8007             0.5238
GRB151026523  63.232    7.952   2.2990e-06         3.7791e-08         0.8757               0.1019       2.0136             0.5869
GRB160625230  43.265   10.801   1.9778e-06         1.9943e-08         1.5543               0.0851       1.9990             0.3842
GRB100604287  13.440    0.871   3.0489e-06         2.0567e-08         2.8462               0.2699       3.4459             1.1413
GRB140213807  18.624    0.716   1.1122e-05         3.5818e-08        10.1038               0.1833      12.0339             0.7827
GRB090922605  52.736    1.810   2.4588e-06         5.2856e-08         1.5774               0.1885       6.7756             1.3863
GRB090513941  11.776    2.064   4.8279e-07         1.4282e-08         0.4143               0.0930       0.9390             0.3420
GRB130425327  62.209    1.145   2.2248e-05         7.0804e-08         9.3607               0.4323      15.0469             2.1796
GRB160325291  42.945    0.572   1.0795e-05         1.0572e-07         4.1630               0.1483       5.3651             0.5549
GRB091102607   6.656    3.435   1.0605e-06         6.2828e-08         1.3395               0.2031       3.2088             0.9132
GRB231214850  20.992    0.572   1.2762e-05         1.0271e-08         9.2321               0.2065      11.5090             0.9416
GRB100926595  32.256    0.572   3.7728e-06         8.6463e-09         2.6901               0.1642       3.9210             0.7476
GRB191112369  50.432    3.208   4.0123e-06         8.9559e-08         1.2831               0.2947       4.1538             1.5065
GRB200616048  23.297    3.093   1.3708e-06         2.2762e-08         1.3393               0.0944       2.0346             0.4350
GRB191031780  77.825    1.379   6.5675e-06         1.5194e-08         2.9984               0.1278       3.9303             0.5422
GRB090120627   1.856    0.181   3.8174e-07         1.0723e-08         0.9299               0.1486       2.5430             0.6284
GRB141022061  11.520    3.083   3.1417e-07         1.2580e-08         0.5712               0.0925       1.4154             0.4163
GRB170113420  49.152    4.136   1.0373e-06         4.5781e-08         0.5287               0.0972       1.3405             0.7114
GRB120827216   5.056    2.127   1.7183e-06         5.0234e-08         2.6653               0.1636       4.4789             0.8615
GRB100517639   5.440    0.604   1.8109e-06         7.2359e-08         3.1718               0.1396       5.1803             0.6365
GRB090802666  27.520    6.192   1.4530e-06         3.1591e-08         0.8521               0.2365       1.6360             0.9782
GRB110618366 163.843   11.406   3.3730e-05         8.9047e-08         3.0585               0.2085       5.2116             1.1339
GRB090516137 110.594    4.199   9.6297e-06         7.3896e-08         1.4599               0.0978       2.2898             0.4325
GRB190906767  23.040    2.318   8.7314e-07         1.3762e-08         1.8274               0.1085       3.5222             0.6284
GRB210501205   8.192    2.521   2.5654e-07         1.6131e-08         0.5406               0.0683       1.0573             0.2678
GRB230729294   0.832    1.231   8.1296e-08         1.0008e-08         0.3797               0.1324       2.6598             0.8195
